Gi,GVhel,mag,Type,Type II Label
73.55165075337477,4252.0,17.5,IIn,Type II
43.039077089880756,4340.0,16.6,II,Type II
30.689702907429076,2722.0,14.5,II,Type II
37.71025143308574,4388.0,16.2,IIn,Type II
38.55974773862977,4155.0,17.2,IIn,Type II
70.48535492575795,5761.0,18.0,IIPec,Type II
76.17829490860058,4314.0,19.0,II,Type II
56.2453252175947,8856.0,17.0,IIn,Type II
54.662604809925064,6533.0,18.7,II,Type II
40.87505480014146,4277.0,16.9,II,Type II
45.6181763586344,5751.0,17.9,II,Type II
28.103778874510304,8292.0,17.8,IIn,Type II
50.05281977975808,14310.0,18.4,IIP,Type II
85.48370831832631,1296.0,16.5,IIPec,Type II
46.541901087025394,592.0,13.5,IIP,Type II
57.59210603476104,2338.0,15.6,II:,Type II
55.88316352436955,7558.0,17.6,IIn,Type II
41.08849576851431,8856.0,17.0,IIn,Type II
58.56004679045361,1424.0,14.5,IIn,Type II
84.76299233919592,5022.0,18.1,II,Type II
30.81089605119571,4226.0,17.2,II,Type II
27.463421370184644,9610.0,19.2,IIPec,Type II
86.05560925733579,4629.0,17.0,II,Type II
45.7686936121862,7392.0,16.5,II,Type II
82.19878091059599,2319.0,16.5,IIP,Type II
30.617177333377434,8281.0,17.9,II,Type II
66.37251959728,6149.0,18.0,II,Type II
47.94258984379945,4122.0,17.7,II,Type II
48.11064392506088,5398.0,16.5,II,Type II
57.65209892319471,5398.0,16.5,II,Type II
45.49215774014885,13419.0,16.8,II,Type II
63.784842139727544,4388.0,16.2,IIn,Type II
45.8382274515966,14310.0,18.4,IIP,Type II
33.12887594504011,7392.0,16.5,II,Type II
31.760199282110488,8799.0,16.8,II,Type II
47.222391791448466,2845.0,16.4,II,Type II
30.008643518023174,6939.0,18.8,II,Type II
54.03781014915749,4409.0,17.0,II,Type II
59.03562871989825,5662.0,16.0,II,Type II
35.851243640666894,895.0,12.1,IIn,Type II
70.86499762121495,1275.0,15.0,II,Type II
59.24063916744703,2558.0,14.4,IIn,Type II
49.033439625043606,8250.0,18.0,II,Type II
37.23060981922215,9711.0,18.0,II,Type II
55.841423168047825,5398.0,16.5,II,Type II
58.631365653410214,6939.0,18.8,II,Type II
51.87692267329503,2378.0,14.8,IIL,Type II
54.00948030138659,705.0,13.9,IIb,Type II
89.70923218193688,2472.0,16.4,II,Type II
35.8251054994483,6000.0,17.1,II,Type II
26.69137325706799,5239.0,17.8,IInPec,Type II
42.949220445151994,3680.0,17.0,II,Type II
71.20057981756592,667.0,13.3,IIL,Type II
33.78738178559706,6962.0,15.7,IIn,Type II
10.795321847036284,9967.0,18.6,II,Type II
49.846104485707215,2277.0,15.9,II,Type II
44.81043613602804,2282.0,16.7,II,Type II
40.80669424669522,4030.0,18.5,II,Type II
19.98739200187478,2009.0,16.0,II,Type II
20.805145199322308,4716.0,15.2,IIn,Type II
31.49203936410594,1906.0,17.0,II,Type II
31.070726984210996,4439.0,16.4,IIPec,Type II
105.47817673368093,2378.0,14.8,IIL,Type II
29.15461744009138,1571.0,15.0,IIP,Type II
60.35516135104223,5696.0,17.7,II,Type II
83.97073867015744,5090.0,16.3,II,Type II
44.82674714025407,7088.0,16.5,II,Type II
70.26125076446499,4122.0,17.7,II,Type II
39.42182403113625,1566.0,13.0,II:,Type II
48.895862069303426,8292.0,17.8,IIn,Type II
49.758822331201294,5261.0,17.7,II,Type II
45.89618762447385,10193.0,18.4,II,Type II
44.84265417415834,1289.0,16.5,II,Type II
52.747098260595884,13419.0,16.8,II,Type II
