Gi,GVhel,mag,Type,Type I Label
67.0,4501.0,16.0,I,Type I
74.0,1339.0,15.7,Ib,Type I
76.0,4678.0,17.6,Ia,Type I
44.0,9210.0,15.5,Ia,Type I
54.0,5897.0,17.0,Ia,Type I
24.0,5282.0,16.0,Ia,Type I
71.0,15521.0,18.0,Ia,Type I
48.0,1856.0,16.5,Ib,Type I
17.0,13388.0,15.0,I,Type I
38.0,7645.0,15.5,Ia,Type I
53.0,9639.0,17.2,Ia,Type I
34.0,4328.0,18.0,Ia,Type I
56.0,4982.0,17.0,Ib/c,Type I
56.0,3206.0,17.0,Ic,Type I
62.0,2621.0,16.0,Ia,Type I
56.0,1818.0,18.0,I:,Type I
