recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc,Type II Label
797,1991av, ,ANON,329.00749999999994,0.9983333333333332,,7500.0, ,18.0,>,IIPec,329.0092916666666,0.999722222222222,Mueller,Type II
2368,2002ik, ,LEDA1165364,321.475,0.4166666666666666,,9593.0, ,20.1,>,IIP,321.476125,0.4148888888888888,"Miknaitis, Miceli, Garg  (Sloan Digital Sky Survey(SDSS))",Type II
2919,2004dy, ,I 5090,317.87499999999994,-2.0316666666666663,72.0,9340.0,.S..1.,18.8,>,II,317.8755416666666,-2.037027777777777,"Ganeshalingam, Moore, Li+",Type II
2710,2003iw, ,N 7102,324.93499999999995,6.286666666666666,56.0,4866.0,.SB.3.,17.1,>,II,324.92929166666664,6.284166666666666,Boles,Type II
2374,2002iq, ,ANON,338.03,0.915,,16788.0, ,21.6,>,II,338.02941666666663,0.9155555555555556,"Miknaitis, Miceli, Garg  (Sloan Digital Sky Survey(SDSS))",Type II
1976,2001fd, ,U11957,333.61999999999995,5.031666666666666,62.0,8450.0,.S..4.,18.4,>,II,333.6235,5.02711111111111,"Papenkova, Li +",Type II
1918,2001cx, ,U12266,344.50249999999994,6.069999999999999,36.0,4817.0,.SB.2.,17.8,>,II,344.5011666666666,6.063444444444444,"Yu, Modjaz, Li +",Type II
2300,2002fu, ,ANON,332.485,12.085,,27281.0, ,19.3,>,II,332.4832916666666,12.085166666666664,"Wood-Vasey, Aldering, Nugent",Type II
1776,2000el, ,N 7290,337.11,17.146666666666665,60.0,2905.0,.SAR4.,16.8,>,II,337.11091666666664,17.147555555555552,"Puckett, George",Type II
949,1994ac, ,U12799,357.475,2.703333333333333,84.0,5311.0,.S..5*,18.5,>,II,357.47304166666663,2.702805555555555,McNaught,Type II
744,1990ae, ,M 01-02-004,5.7075,6.8166666666666655,74.0,7554.0,DS..5.,18.0,>,II,5.712916666666666,6.818055555555555,"Mueller, Mendenhall",Type II
2703,2003ip, ,U  327,8.315,7.9049999999999985,71.0,5398.0,.S..4.,16.5,>,II,8.319833333333332,7.905416666666666,Li+,Type II
1930,2001dj, ,N  180,9.489999999999998,8.634999999999998,44.0,5281.0,.SBT4.,17.7,>,IIPec,9.467583333333332,8.642499999999998,"Papenkova, Li +",Type II
